iter	Passed	Remaining
0	130	130094
1	135	67633
2	140	46744
3	145	36338
4	150	30019
5	156	25859
6	160	22796
7	165	20525
8	170	18790
9	176	17427
10	180	16246
11	185	15265
12	190	14459
13	195	13791
14	200	13194
15	205	12641
16	210	12180
17	215	11766
18	220	11393
19	225	11056
20	230	10754
21	235	10475
22	240	10221
23	245	9985
24	250	9776
25	255	9581
26	260	9387
27	265	9211
28	270	9063
29	275	8902
30	280	8754
31	284	8613
32	289	8497
33	295	8382
34	299	8269
35	305	8176
36	310	8090
37	315	7992
38	320	7903
39	325	7811
40	330	7732
41	336	7664
42	340	7587
43	345	7508
44	350	7448
45	355	7379
46	360	7310
47	365	7252
48	371	7203
49	375	7142
50	380	7082
51	385	7029
52	390	6982
53	395	6927
54	400	6874
55	405	6832
56	410	6786
57	415	6742
58	419	6695
59	424	6657
60	429	6615
61	434	6574
62	439	6537
63	445	6511
64	450	6481
65	455	6446
66	460	6411
67	465	6382
68	470	6347
69	474	6310
70	480	6280
71	484	6248
72	489	6215
73	493	6179
74	498	6148
75	503	6119
76	507	6087
77	512	6063
78	517	6033
79	522	6003
80	527	5980
81	531	5952
82	536	5926
83	541	5902
84	546	5879
85	551	5859
86	556	5834
87	560	5811
88	565	5789
89	569	5762
90	574	5742
91	579	5722
92	585	5705
93	589	5685
94	595	5669
95	600	5655
96	606	5641
97	610	5620
98	615	5605
99	622	5603
100	628	5595
101	633	5581
102	639	5567
103	644	5551
104	650	5541
105	655	5528
106	660	5513
107	666	5501
108	671	5486
109	676	5477
110	682	5466
111	687	5452
112	693	5440
113	698	5425
114	703	5416
115	709	5404
116	714	5392
117	719	5374
118	724	5362
119	729	5348
120	734	5335
121	739	5318
122	744	5305
123	749	5292
124	753	5277
125	758	5261
126	763	5248
127	768	5232
128	772	5218
129	777	5206
130	782	5190
131	787	5175
132	791	5161
133	796	5148
134	801	5135
135	805	5119
136	810	5108
137	815	5094
138	820	5079
139	825	5067
140	829	5055
141	834	5044
142	839	5032
143	844	5022
144	849	5010
145	854	4996
146	859	4987
147	864	4975
148	869	4965
149	874	4955
150	879	4946
151	884	4934
152	889	4924
153	894	4912
154	899	4904
155	904	4894
156	909	4883
157	914	4871
158	919	4862
159	923	4849
160	928	4837
161	933	4830
162	938	4819
163	943	4812
164	949	4802
165	954	4795
166	959	4785
167	964	4775
168	969	4764
169	974	4756
170	978	4745
171	983	4734
172	988	4726
173	993	4718
174	998	4707
175	1003	4699
176	1008	4690
177	1013	4682
178	1018	4672
179	1023	4662
180	1028	4655
181	1033	4646
182	1038	4637
183	1043	4626
184	1048	4617
185	1053	4608
186	1057	4599
187	1062	4591
188	1068	4583
189	1072	4574
190	1077	4564
191	1083	4558
192	1088	4551
193	1093	4543
194	1098	4534
195	1104	4528
196	1109	4523
197	1115	4519
198	1121	4513
199	1127	4509
200	1133	4506
201	1140	4504
202	1145	4498
203	1151	4493
204	1157	4487
205	1163	4482
206	1168	4478
207	1173	4469
208	1179	4463
209	1185	4459
210	1191	4454
211	1197	4451
212	1203	4446
213	1207	4436
214	1212	4426
215	1217	4420
216	1222	4410
217	1227	4404
218	1233	4397
219	1238	4390
220	1243	4383
221	1248	4375
222	1252	4365
223	1258	4358
224	1263	4351
225	1268	4343
226	1273	4336
227	1278	4330
228	1284	4323
229	1288	4314
230	1293	4306
231	1299	4301
232	1304	4293
233	1309	4286
234	1314	4278
235	1319	4272
236	1324	4264
237	1329	4256
238	1334	4248
239	1339	4242
240	1344	4234
241	1349	4226
242	1354	4219
243	1359	4213
244	1366	4209
245	1370	4201
246	1375	4193
247	1381	4187
248	1386	4181
249	1391	4173
250	1395	4165
251	1401	4160
252	1406	4153
253	1411	4146
254	1416	4138
255	1421	4132
256	1427	4126
257	1433	4122
258	1438	4115
259	1443	4108
260	1449	4102
261	1454	4096
262	1458	4088
263	1463	4079
264	1468	4073
265	1474	4068
